"whrswk","hhi","whi","hhi2","education","race","hispanic","experience","kidslt6","kids618","husby","region"
"40","yes","no","yes","16years","white","no","20","0","2","51","northcentral"
"40","yes","no","yes",">16years","white","no","17","0","2","25","northcentral"
"40","no","no","no","12years","white","no","22","0","4","6","northcentral"
"0","no","no","no","12years","white","no","38","0","0","0","northcentral"
"35","yes","no","yes","12years","white","no","12","0","0","35","northcentral"
"40","yes","yes","yes","13-15years","white","no","16","0","3","32","northcentral"
"0","no","no","no","13-15years","white","no","24","0","3","10.582","northcentral"
"0","no","no","no","13-15years","white","no","35","0","0","0","northcentral"
"0","no","no","no","12years","white","no","45","0","0","0","northcentral"
"40","no","yes","no","16years","white","no","5","0","0","0","northcentral"
"0","no","no","no","13-15years","white","no","10","1","0","30","northcentral"
"37","yes","no","yes","13-15years","white","no","21","0","1","19.5","northcentral"
"15","yes","no","yes","12years","white","no","26","0","0","16","northcentral"
"32","yes","no","yes","12years","white","no","42","0","0","15.8","northcentral"
"40","yes","no","yes","12years","white","no","25","1","1","24","northcentral"
"0","yes","no","yes","13-15years","white","no","17","2","1","47","northcentral"
"40","no","yes","no","12years","white","no","28","0","0","2.5","northcentral"
"24","yes","no","yes","16years","white","no","28","0","1","40","northcentral"
"0","yes","no","yes","13-15years","white","no","41","0","0","58","northcentral"
"0","no","no","no","12years","white","no","36","0","0","0","northcentral"
"34","no","no","no","9-11years","white","no","26.5","0","0","21.8","northcentral"
"36","no","yes","yes","12years","white","no","40","0","0","10.78","northcentral"
"0","no","no","no","13-15years","white","no","42","0","0","2","northcentral"
"16","no","no","no","13-15years","white","no","18","1","3","0","northcentral"
"24","yes","no","yes","16years","white","no","20","0","7","5","northcentral"
"0","no","no","no","12years","white","no","42","0","0","0","northcentral"
"0","no","no","no","13-15years","white","no","42","0","0","0","northcentral"
"20","no","no","no","12years","white","no","26","0","1","5","northcentral"
"0","no","no","no","13-15years","white","no","19","0","2","0","northcentral"
"26","yes","no","yes","12years","white","no","32","0","0","40","northcentral"
"24","yes","no","yes","12years","white","no","47","0","0","11","northcentral"
"0","yes","no","yes","12years","white","no","41","0","0","7.483","northcentral"
"40","yes","no","yes","12years","white","no","11","1","2","33.648","northcentral"
"40","yes","no","yes","12years","white","no","27","0","0","58","northcentral"
"40","no","no","no","12years","white","no","13","0","2","10.172","northcentral"
"0","yes","no","yes","12years","white","no","46","0","0","0","northcentral"
"0","no","yes","no","12years","white","no","46","0","0","0","northcentral"
"40","no","yes","no","9-11years","white","no","47.5","0","0","0","northcentral"
"0","no","no","no","12years","white","no","17","3","0","0","northcentral"
"0","yes","no","yes","12years","white","no","28","0","0","37","northcentral"
"0","no","no","no","12years","white","no","12","2","1","0","northcentral"
"45","yes","no","yes","12years","white","no","28","0","2","40","other"
"10","yes","no","yes","12years","white","no","17","0","3","40.808","other"
"20","yes","no","yes","12years","white","no","8","2","1","25","other"
"0","no","yes","yes","12years","white","no","42","0","0","0","other"
"15","yes","no","yes","12years","white","no","39","0","0","30","other"
"32","no","yes","yes","13-15years","white","no","34","0","0","40","other"
"18","yes","no","yes",">16years","white","yes","13","1","1","60","other"
"50","yes","no","yes","16years","white","no","23","0","2","53","other"
"40","yes","yes","yes","12years","white","no","20","0","1","22","other"
"40","yes","yes","yes","13-15years","white","no","22","0","2","31","other"
"0","yes","no","yes","12years","white","no","29","0","1","37","other"
"30","yes","no","yes","12years","white","no","19","0","3","50","other"
"40","no","yes","yes","16years","white","no","31","0","0","47","other"
"17","yes","no","yes","12years","white","no","15","1","1","30.4","other"
"40","no","yes","no",">16years","white","no","8","0","0","18","other"
"36","no","yes","yes","13-15years","white","no","19","0","3","22","other"
"35","no","yes","no","13-15years","white","no","35","0","1","2.6","other"
"20","no","no","no","12years","white","no","26","0","2","0","other"
"38","yes","yes","yes","16years","white","no","21","0","0","54","other"
"30","yes","no","yes","9-11years","white","no","44.5","0","0","22","other"
"40","yes","no","yes","13-15years","white","no","28","0","1","44.44","other"
"50","no","yes","no","12years","white","no","44","0","0","0","other"
"37","yes","no","yes","12years","white","no","26","0","3","23.12","other"
"30","no","yes","no",">16years","white","no","34","0","1","0","other"
"37","yes","yes","yes",">16years","white","no","10","1","0","28","other"
"35","no","yes","no","16years","white","no","30","0","0","67","other"
"40","no","no","no","9-11years","white","no","10.5","0","0","10","other"
"0","yes","no","yes","12years","white","no","12","3","1","2.7","other"
"0","no","no","no","9-11years","white","no","19.5","0","0","0","other"
"16","yes","no","yes","12years","white","no","44","0","0","34.875","other"
"20","yes","no","yes","12years","white","no","15","0","2","28.2","other"
"40","yes","no","yes","16years","white","no","3","1","0","38.715","other"
"10","yes","no","yes","16years","white","no","12","2","1","48","other"
"45","yes","no","yes","16years","white","no","21","0","2","34.8","other"
"22","yes","no","yes","13-15years","white","no","30","0","0","59","other"
"20","yes","no","yes","16years","white","no","21","1","1","0","other"
"32","yes","no","yes","16years","white","no","9","2","0","55.5","other"
"40","no","yes","no","13-15years","white","yes","10","0","2","33","other"
"40","yes","no","yes","13-15years","white","yes","10","2","0","26","other"
"40","yes","no","yes","12years","white","no","16","0","1","24.241","other"
"36","no","yes","no","13-15years","white","no","10","0","0","30","other"
"18","yes","no","yes","13-15years","white","no","18","0","3","60","other"
"40","no","yes","no",">16years","black","no","19","0","1","26","other"
"0","yes","no","yes","12years","white","no","9","2","0","29","other"
"40","no","yes","yes","12years","white","no","36","0","0","35","other"
"40","yes","no","yes",">16years","white","no","33","0","0","55","other"
"48","no","yes","no","13-15years","white","no","19","0","2","3","other"
"40","yes","yes","yes","12years","white","no","32","0","0","50","other"
"0","yes","no","yes","12years","white","no","46","0","0","0","other"
"40","no","yes","no","13-15years","black","no","32","0","0","0","other"
"25","yes","yes","yes","12years","white","no","21","1","1","45","other"
"40","yes","yes","yes","16years","white","no","13","0","0","36.7","other"
"0","yes","no","yes","16years","white","no","22","1","1","85","other"
"40","no","yes","no","12years","white","no","34","0","0","30","other"
"28","yes","no","yes","12years","white","no","13","2","0","14","other"
"40","yes","no","yes","12years","white","no","36","0","1","28","other"
"20","yes","no","yes","9-11years","white","no","16.5","0","0","43","other"
"45","yes","no","yes","12years","white","no","23","0","2","25","other"
"0","yes","no","yes","16years","white","no","23","1","1","44","other"
"0","yes","no","yes","13-15years","white","no","21","0","0","58","other"
"0","yes","no","yes","12years","white","no","21","0","2","37","other"
"40","no","no","no","16years","black","no","20","0","2","52","other"
"0","yes","no","yes","12years","white","no","18","1","0","35","other"
"0","no","no","no","13-15years","white","no","22","0","1","40","other"
"20","no","yes","no",">16years","white","no","-1","0","0","0","other"
"35","no","yes","no","12years","white","yes","8","1","0","0","other"
"35","yes","yes","yes","12years","white","yes","44","0","0","0","other"
"8","no","no","no",">16years","white","yes","33","0","0","99.999","other"
"0","yes","no","yes","16years","white","no","40","0","0","0.75","other"
"0","no","no","no","9-11years","white","no","28.5","0","0","45","other"
"40","no","yes","no","13-15years","white","no","25","0","2","0.8","other"
"40","yes","no","yes","9-11years","white","no","42.5","0","0","23","other"
"0","yes","no","yes","12years","white","no","19","0","0","38","other"
"30","no","yes","yes","12years","white","no","30","0","0","35","other"
"35","yes","yes","yes","12years","white","no","20","1","0","44","other"
"40","no","yes","no","12years","white","no","47","0","0","0","other"
"0","yes","no","yes","12years","white","no","38","0","0","40","other"
"45","no","yes","no","9-11years","black","no","35.5","0","0","7","other"
"30","no","no","no","12years","black","no","23","1","3","4.2","other"
"35","no","yes","yes","16years","black","no","27","0","0","99.999","other"
"30","yes","no","yes","12years","white","no","19","0","3","30","other"
"40","yes","no","yes","16years","white","no","22","0","1","55","other"
"40","yes","no","yes","13-15years","white","no","35","0","0","0","other"
"45","no","yes","no","16years","white","no","7","0","0","65","other"
"30","yes","yes","yes","12years","white","no","11","1","0","40","other"
"25","yes","no","yes","16years","white","no","22","0","2","36","other"
"40","yes","yes","yes","12years","white","no","23","1","1","42","other"
"40","yes","yes","yes","12years","white","no","9","0","0","52","other"
"0","yes","no","yes","12years","white","no","46","0","0","25","other"
"20","yes","no","yes","12years","white","no","42","0","0","0","other"
"40","no","no","no","16years","white","no","18","1","1","0","other"
"0","yes","no","yes","16years","white","no","18","0","0","23","other"
"0","no","no","no","12years","white","no","32","0","0","0","other"
"30","yes","no","yes",">16years","white","no","22","0","2","40","other"
"45","no","yes","no",">16years","white","no","24","0","2","51","other"
"40","yes","no","yes","13-15years","white","no","17","1","0","65","other"
"0","yes","no","yes","13-15years","white","no","35","0","1","9","other"
"40","no","yes","no","9-11years","black","no","47.5","0","0","0","other"
"40","no","yes","yes","13-15years","white","no","10","0","0","32","other"
"0","yes","no","yes","12years","white","no","15","2","0","50","other"
"35","no","no","yes","9-11years","white","no","10.5","1","1","20","other"
"0","no","no","no","12years","white","no","11","1","3","0","other"
"44","no","yes","no","16years","white","no","13","1","0","0","other"
"40","yes","yes","yes","13-15years","black","no","21","0","1","37","other"
"40","no","yes","no","16years","white","no","12","2","1","53","other"
"45","yes","no","yes","12years","white","no","10","0","2","20","other"
"0","no","no","no","9-11years","white","no","4.5","2","0","9.2","other"
"0","no","no","no","<9years","white","no","10","3","0","0","other"
"40","no","yes","yes",">16years","white","no","36","0","0","0","other"
"20","no","yes","yes","13-15years","white","no","9","0","0","30.8","other"
"22","yes","no","yes",">16years","white","no","19","0","2","51.576","other"
"0","no","no","no","12years","black","no","14","3","0","0","other"
"40","no","yes","yes","16years","white","no","18","0","1","13.347","other"
"35","yes","no","yes","12years","white","no","8","1","1","11.34","other"
"0","yes","no","yes","12years","white","no","20","1","1","57","other"
"40","yes","yes","yes",">16years","white","no","35","0","0","76.685","other"
"0","yes","no","yes","12years","white","no","39","0","0","0","other"
"0","no","no","no","16years","white","no","39","0","0","0","other"
"0","yes","no","yes","12years","white","no","16","1","2","27","other"
"0","yes","no","yes","12years","white","no","46","0","0","7","other"
"20","no","no","no","9-11years","white","no","46.5","0","0","19","other"
"40","no","yes","no","12years","white","no","23","0","2","10","other"
"40","no","no","no","12years","white","no","28","0","0","5","other"
"40","no","yes","no","12years","white","no","34","0","0","0","other"
"37","yes","no","yes","12years","white","no","41","0","0","5","other"
"0","no","no","no","9-11years","white","no","31.5","0","0","0","other"
"40","no","yes","no","13-15years","white","no","14","2","0","59","other"
"40","no","yes","no","12years","white","no","33","0","0","0","other"
"44","no","yes","yes","12years","white","no","44","0","0","31","other"
"10","yes","no","yes","9-11years","white","no","22.5","1","2","0","other"
"25","no","no","no",">16years","white","no","23","0","1","60","other"
"50","yes","no","yes",">16years","white","no","16","1","1","45","other"
"26","yes","yes","yes","9-11years","white","no","42.5","0","0","30","other"
"40","yes","yes","yes",">16years","white","no","17","0","3","45","other"
"25","yes","yes","yes","12years","white","no","40","0","0","17","other"
"40","no","yes","no","16years","white","no","7","1","0","37","other"
"40","no","yes","yes","16years","white","no","9","1","0","35","other"
"28","yes","no","yes","12years","white","no","13","0","0","12","other"
"15","yes","no","yes",">16years","white","no","16","0","2","68","other"
"60","no","yes","yes",">16years","white","no","10","0","0","66","other"
"32","yes","no","yes","16years","white","no","28","0","0","30","other"
"0","no","no","no","13-15years","white","no","18","2","2","0","other"
"35","no","yes","yes","16years","white","no","12","0","0","29.5","other"
"5","yes","no","yes","13-15years","white","no","22","0","1","99.999","other"
"40","no","yes","no","<9years","white","no","36","0","0","0","other"
"0","yes","no","yes",">16years","white","no","28","0","0","54","other"
"40","no","yes","yes",">16years","white","no","3","0","0","40","other"
"40","no","yes","yes","12years","white","no","31","0","0","42","other"
"8","yes","no","yes","16years","white","no","29","0","1","65","other"
"50","no","yes","no",">16years","white","no","12","1","0","14","other"
"35","no","yes","no","13-15years","white","no","39","0","0","63","other"
"20","yes","no","yes",">16years","white","no","25","0","0","60","other"
"36","yes","yes","yes","12years","white","no","44","0","0","0","other"
"40","no","yes","no","9-11years","white","no","41.5","0","0","28","other"
"30","no","no","yes","16years","white","no","26","0","1","43","other"
"6","no","no","no","<9years","white","no","32","0","1","21","other"
"40","no","yes","no",">16years","white","no","24","0","2","52","other"
"40","yes","yes","yes","12years","white","no","32","0","0","36","other"
"0","no","no","no",">16years","white","no","20","0","2","20","other"
"40","no","yes","yes","13-15years","white","no","11","1","0","35","other"
"50","no","yes","yes","16years","white","no","3","0","0","28","other"
"40","yes","no","yes","13-15years","white","no","28","0","0","44","other"
"35","no","no","no","13-15years","white","no","25","0","2","9.999","other"
"40","yes","no","yes","12years","white","no","36","0","0","30","other"
"32","no","yes","no","16years","white","no","17","1","0","18","other"
"50","yes","no","yes","13-15years","white","no","11","0","0","27","other"
"40","no","no","no","12years","white","no","28","0","0","41.2","other"
"25","yes","no","yes","12years","white","no","40","0","0","52","other"
"40","no","yes","no",">16years","white","no","11","0","0","30","other"
"40","yes","no","yes","12years","white","no","18","0","0","33","other"
"0","yes","no","yes","9-11years","white","no","29.5","0","3","46","other"
"37","no","yes","no","13-15years","white","no","11","0","0","49","other"
"0","no","no","no","16years","white","no","8","0","0","40","other"
"20","no","no","no","16years","white","no","2","0","0","7","other"
"45","yes","no","yes","13-15years","white","no","19","0","3","40","other"
"40","no","yes","no","12years","white","no","39","0","0","0","other"
"4","no","no","no","12years","white","yes","14","0","0","10.4","other"
"40","no","yes","no","<9years","white","yes","20","2","1","9","other"
"40","yes","no","yes","<9years","white","yes","32","0","1","20","other"
"40","no","no","no","12years","white","yes","13","0","2","13","other"
"40","no","yes","no",">16years","white","no","6","0","0","32","other"
"0","yes","no","yes","16years","white","no","23","1","3","65","other"
"25","no","yes","no","13-15years","white","no","20","0","1","37","other"
"44","no","yes","yes","13-15years","white","no","36","0","0","30","other"
"0","no","no","yes","<9years","white","no","48","0","0","0","other"
"0","yes","no","yes","12years","white","no","43","0","0","22","other"
"0","yes","no","yes","9-11years","white","no","46.5","0","0","0","other"
"16","yes","no","yes","12years","white","no","40","0","0","25","other"
"35","no","no","no","13-15years","white","no","10","0","3","6","other"
"25","no","no","no","12years","white","no","6","3","0","22","other"
"40","no","yes","yes","<9years","white","no","38","0","0","26","other"
"60","no","no","no","12years","white","no","26","2","1","0","other"
"35","no","yes","no","9-11years","white","no","39.5","0","1","0","other"
"40","no","yes","no","9-11years","white","yes","23.5","0","2","14","other"
"25","yes","no","yes","12years","white","no","10","1","1","30.4","other"
"40","no","no","no","12years","white","no","15","0","0","0","other"
"40","no","yes","no","<9years","white","no","48","0","0","17","other"
"5","yes","no","yes","13-15years","white","no","20","0","2","42","other"
"0","yes","no","yes",">16years","white","no","22","0","2","80","other"
"32","yes","no","yes",">16years","white","no","22","0","2","45.806","other"
"0","yes","no","yes","12years","white","no","40","0","0","0","other"
"35","yes","yes","yes","12years","white","no","29","0","1","31.5","other"
"0","no","no","no","<9years","white","yes","44","0","0","0","other"
"40","no","yes","yes","12years","white","no","30","0","0","32","other"
"50","yes","yes","yes","16years","white","no","27","0","1","69","other"
"45","yes","no","yes",">16years","white","no","26","0","1","51.5","other"
"20","yes","no","yes","12years","white","no","30","0","0","40","other"
"25","no","no","no","13-15years","white","no","42","0","0","0","other"
"50","yes","yes","yes","16years","white","no","25","0","1","40.059","other"
"20","yes","no","yes","12years","white","no","19","0","2","59.381","other"
"25","yes","no","yes","13-15years","white","no","25","0","1","40","other"
"40","yes","yes","yes","12years","white","no","25","0","1","47","other"
"20","yes","no","yes","12years","white","no","28","0","2","90","other"
"50","no","yes","no","16years","white","no","17","0","0","40","other"
"40","yes","no","yes","16years","white","no","32","0","0","55","other"
"40","yes","yes","yes","13-15years","white","no","25","0","1","38","other"
"40","yes","yes","yes","13-15years","white","no","24","0","0","45","other"
"38","yes","yes","yes","9-11years","white","no","32.5","0","0","30","other"
"55","no","yes","no","12years","white","no","45","0","0","0","other"
"43","yes","no","yes","13-15years","white","no","14","0","2","0","other"
"0","no","no","no","9-11years","white","no","41.5","0","0","0","other"
"0","yes","no","yes","12years","white","no","39","0","0","27","other"
"0","yes","no","yes","12years","white","no","42","0","0","0","other"
"40","yes","no","yes","12years","white","no","24","0","3","29.74","other"
"35","yes","yes","yes","16years","white","no","31","0","0","80","other"
"0","yes","no","yes","16years","white","no","10","1","1","41","other"
"0","yes","no","yes","12years","white","no","37","0","0","0","other"
"0","yes","no","yes","12years","white","no","13","2","1","34.975","other"
"0","yes","no","yes","9-11years","white","yes","7.5","1","0","18.076","other"
"40","no","yes","no","16years","white","no","6","1","0","10.2","other"
"40","no","yes","no","13-15years","white","no","5","0","0","0","other"
"45","no","yes","no","16years","white","no","3","0","0","0","other"
"20","yes","no","yes","12years","white","no","36","0","0","40","other"
"0","yes","no","yes","13-15years","white","no","23","0","3","50","other"
"0","no","no","no","<9years","white","no","12","2","2","0","other"
"45","no","yes","no","16years","white","no","11","1","1","0","other"
"0","yes","no","yes","12years","white","no","41","0","0","26","other"
"40","no","yes","no","13-15years","white","no","6","0","0","9.9","other"
"35","no","no","no","12years","white","no","12","0","0","0","other"
"40","no","yes","no","12years","black","no","25","0","1","26","other"
"40","no","yes","no",">16years","white","no","7","2","1","0","other"
"40","no","yes","no","12years","white","no","20","0","2","47","other"
"0","yes","no","yes","12years","white","no","32","0","0","36.56","other"
"40","no","yes","no","13-15years","white","no","11","1","0","26","other"
"20","no","no","no","13-15years","white","no","15","1","1","0.4","other"
"0","no","yes","no","13-15years","white","no","11","1","0","42","other"
"30","yes","no","yes",">16years","white","no","28","0","0","0","other"
"24","yes","no","yes","13-15years","white","no","32","0","0","52","other"
"44","no","yes","no","13-15years","white","no","29","0","0","10","other"
"30","no","yes","yes","12years","white","no","45","0","0","63","other"
"40","no","yes","no",">16years","white","no","11","0","0","12","other"
"30","yes","no","yes","12years","white","no","20","0","2","50.96","other"
"40","no","yes","yes","12years","white","no","13","0","0","30","other"
"8","no","yes","no",">16years","white","no","28","0","0","0","other"
"6","no","no","no","12years","white","no","47","0","0","2","other"
"50","yes","yes","yes","<9years","white","no","40","0","0","0","other"
"35","yes","yes","yes","12years","white","no","40","0","0","0","other"
"40","yes","yes","yes","16years","white","no","22","0","0","75","other"
"40","no","yes","no","13-15years","white","no","24","0","3","99.999","other"
"35","no","yes","no","16years","white","no","22","0","0","0","other"
"0","yes","no","yes","16years","white","no","18","1","2","99.999","other"
"38","no","yes","yes","13-15years","white","no","36","0","0","42","other"
"45","no","no","no","12years","white","no","18","0","2","0","other"
"0","yes","no","yes","12years","white","no","43","0","0","6","other"
"40","yes","no","yes","12years","white","no","12","0","0","27","other"
"0","yes","no","yes","13-15years","white","no","18","2","0","0","other"
"40","no","yes","no","12years","white","no","39","0","0","39.7","other"
"40","no","yes","no","12years","white","no","16","0","2","35","other"
"40","yes","yes","yes","13-15years","white","no","7","0","0","17","other"
"24","yes","no","yes","12years","white","no","21","0","0","32","other"
"38","yes","no","yes","12years","white","no","26","0","2","24.289","other"
"0","yes","no","yes","12years","white","no","10","2","0","54.045","other"
"40","yes","yes","yes","13-15years","white","no","22","2","0","25.5","other"
"32","yes","no","yes","13-15years","white","no","14","0","2","31","other"
"42","yes","no","yes","9-11years","white","no","22.5","0","0","17","other"
"0","yes","no","yes","12years","white","no","15","0","3","29","other"
"40","no","yes","no","13-15years","white","no","13","2","0","0","other"
"13","no","no","no","13-15years","white","no","22","1","0","60.5","other"
"16","yes","no","yes","12years","white","no","19","0","0","33","other"
"20","no","no","no","13-15years","white","yes","7","0","0","0","other"
"35","yes","no","yes","12years","white","no","40","0","0","20","other"
"40","yes","no","yes","12years","white","no","15","2","0","0","other"
"0","no","no","no","12years","white","no","37","0","0","0.32","other"
"40","yes","no","yes","12years","white","no","32","0","3","9.5","other"
"40","no","no","no","12years","white","no","38","0","0","0","other"
"40","no","yes","no",">16years","white","no","24","0","1","0","other"
"40","no","yes","no","12years","white","no","13","0","0","14.12","other"
"40","yes","no","yes","12years","white","no","22","0","2","19.261","other"
"0","no","yes","no","13-15years","white","no","44","0","0","0.4","other"
"0","no","no","no","16years","white","no","20","0","2","80","other"
"0","yes","no","yes","16years","white","no","36","0","0","45","other"
"40","no","yes","no","16years","white","no","16","0","1","13","other"
"19","yes","no","yes","13-15years","white","no","17","0","2","51","other"
"30","no","no","no","12years","white","no","13","1","0","20","other"
"40","no","no","no","13-15years","white","no","15","2","0","0","other"
"0","no","no","no","13-15years","white","no","21","0","2","0","other"
"40","no","yes","no","12years","white","no","32","0","0","40","other"
"20","yes","no","yes","16years","white","no","29","0","0","36","other"
"0","no","no","no","<9years","white","no","20","0","2","18.5","other"
"40","yes","no","yes","12years","white","no","45","0","0","34","other"
"40","yes","yes","yes","16years","white","no","33","0","0","25","other"
"0","yes","no","yes","12years","white","no","17","2","0","60","other"
"40","no","yes","no","12years","white","no","28","0","0","0","other"
"40","yes","yes","yes","12years","white","no","31","0","0","33","other"
"20","yes","no","yes","13-15years","white","no","29","0","0","3","other"
"40","no","yes","yes","13-15years","white","no","34","0","0","25","other"
"40","yes","yes","yes","9-11years","white","no","25.5","2","0","40","other"
"70","no","no","yes",">16years","white","no","3","0","0","40","other"
"0","yes","no","yes","12years","white","no","37","0","0","20","other"
"35","yes","yes","yes","12years","white","no","14","0","2","34","other"
"20","yes","no","yes","12years","white","no","21","1","2","57","other"
"30","yes","no","yes","16years","white","no","13","1","0","80","other"
"0","yes","no","yes","12years","white","no","20","3","0","45","other"
"0","yes","no","yes","12years","white","no","33","0","0","23.14","other"
"0","yes","no","yes","12years","white","no","34","0","0","40","other"
"0","yes","no","yes","12years","white","no","16","3","0","0","other"
"0","no","no","no","12years","white","no","44","0","0","8.5","other"
"20","no","no","no","13-15years","white","no","24","1","0","22","other"
"0","no","no","no","<9years","white","no","27","1","3","30","other"
"40","no","yes","no","16years","white","no","35","0","0","0","other"
"40","no","no","no","12years","white","no","4","1","0","2","other"
"0","no","no","no","16years","white","yes","18","1","0","35","other"
"0","yes","no","yes","16years","white","no","31","0","1","35","other"
"40","no","yes","no","12years","black","no","27","0","0","15","other"
"38","no","yes","no","12years","black","no","20","1","0","17","other"
"40","no","no","no","12years","white","no","17","1","0","67.6","other"
"40","yes","no","yes","13-15years","black","no","8","1","0","11","other"
"40","yes","yes","yes","12years","black","yes","14","0","2","24","other"
"50","no","no","no","12years","black","no","41","2","3","0","other"
"0","yes","no","yes","9-11years","white","yes","25.5","0","0","0","other"
"0","yes","no","yes","<9years","black","yes","35","0","0","23","other"
"0","yes","no","yes","9-11years","white","yes","15.5","1","2","30","other"
"40","yes","yes","yes","12years","white","no","9","0","0","21","other"
"40","yes","no","yes","12years","white","no","28","0","0","38","other"
"40","yes","no","yes","12years","white","yes","25","0","1","40","other"
"0","yes","no","yes","12years","white","no","21","0","2","53","other"
"40","yes","yes","yes","12years","white","no","36","0","0","35","other"
"40","yes","yes","yes","12years","white","yes","18","2","1","28.6","other"
"40","yes","no","yes","12years","white","yes","10","0","0","11","other"
"40","no","yes","no","<9years","white","no","34","0","0","0","other"
"38","no","yes","yes","12years","white","yes","9","1","0","19","other"
"40","no","yes","no","12years","white","no","16","1","0","0","other"
"38","yes","yes","yes","12years","white","yes","27","0","1","35","other"
"35","yes","no","yes","12years","white","no","8","0","0","18.624","other"
"0","no","no","no","9-11years","white","no","36.5","0","0","0","other"
"0","yes","no","yes","13-15years","white","no","23","2","0","22","other"
"0","yes","no","yes","13-15years","white","yes","15","3","0","60","other"
"40","no","no","no","13-15years","white","yes","3","2","0","16","other"
"0","yes","no","yes","<9years","white","yes","15","1","0","15.365","other"
"30","no","yes","no","12years","white","yes","7","2","0","0","other"
"40","yes","no","yes","13-15years","black","no","11","0","0","35","other"
"0","no","no","no","12years","white","no","14","1","0","0","other"
"0","yes","no","yes","12years","white","no","41","0","0","4","other"
"40","no","yes","no","13-15years","white","yes","24","0","1","30","other"
"0","no","no","no","9-11years","white","yes","38.5","0","0","0","other"
"0","yes","no","yes","12years","white","no","23","0","2","0","other"
